,precision,recall,F1_score
C,0.636231884057971,0.6979332273449921,0.66565579984837
WP,0.875,0.6666666666666666,0.7567567567567567
PC,0.7352941176470589,0.7894736842105263,0.7614213197969544
CP,0.807131280388979,0.7879746835443038,0.7974379503602883
IA,0.8964552238805971,0.8185689948892675,0.8557435440783615
E,0.8181818181818182,0.72,0.7659574468085107
T,0.958974358974359,0.9280397022332506,0.9432534678436317
overall,0.8136714443219405,0.7965461413923367,0.8050177256613036
